['3', '6', '9', '5', '2', '0', '4', '7']
['2', '3', '4', '5', '6', '1', '0', '8']
['6', '8', '4', '3', '0', '7', '5', '2']
['7', '0', '8', '6', '4', '5', '3', '1']
['8', '2', '4', '6', '5', '7', '9', '0']
['4', '8', '3', '9', '7', '2', '6', '1']
['4', '3', '9', '1', '2', '7', '8', '5']
['6', '2', '1', '5', '8', '3', '9', '0']
['1', '9', '0', '5', '2', '6', '8', '4']
['4', '6', '9', '1', '7', '2', '3', '8']
['5', '3', '2', '9', '7', '4', '0', '1']
['0', '6', '9', '1', '4', '7', '3', '2']
['7', '2', '6', '5', '4', '8', '1', '0']
['8', '2', '4', '0', '1', '7', '3', '9']
['6', '4', '0', '8', '3', '7', '2', '5']
['6', '0', '8', '2', '7', '9', '4', '1']
['1', '9', '3', '4', '5', '6', '8', '0']
['5', '3', '2', '9', '6', '0', '1', '8']
['7', '6', '8', '3', '5', '4', '1', '9']
['5', '2', '9', '7', '1', '0', '8', '6']
['6', '8', '7', '9', '3', '0', '1', '4']
['4', '9', '6', '5', '0', '1', '7', '3']
['0', '1', '6', '8', '9', '5', '2', '3']
['6', '4', '2', '5', '8', '0', '3', '7']
['4', '7', '6', '8', '9', '5', '1', '0']
['5', '3', '4', '1', '0', '8', '9', '7']
['7', '9', '2', '3', '4', '0', '8', '6']
['7', '1', '0', '3', '6', '2', '4', '8']
['9', '3', '8', '7', '5', '2', '0', '4']
['5', '6', '2', '1', '9', '0', '8', '3']
