['2', '9', '6', '1', '5', '0', '8', '3']
['2', '4', '1', '0', '6', '5', '8', '9']
['1', '6', '4', '0', '7', '9', '5', '2']
['9', '2', '3', '1', '8', '7', '0', '5']
['1', '7', '8', '5', '4', '2', '0', '9']
['7', '8', '6', '9', '4', '3', '0', '5']
['9', '6', '4', '0', '7', '5', '3', '2']
['2', '6', '9', '8', '4', '5', '7', '0']
['5', '7', '0', '2', '1', '6', '8', '3']
['0', '1', '5', '6', '8', '4', '7', '9']
['0', '5', '2', '8', '9', '1', '7', '6']
['1', '7', '2', '3', '5', '8', '4', '6']
['6', '1', '5', '0', '9', '4', '7', '3']
['0', '8', '2', '4', '7', '6', '5', '3']
['0', '7', '3', '2', '4', '9', '1', '5']
['8', '1', '7', '2', '5', '6', '9', '0']
['6', '1', '2', '0', '9', '5', '7', '4']
['5', '1', '3', '7', '6', '9', '4', '2']
['0', '1', '5', '4', '3', '6', '2', '8']
['8', '0', '3', '4', '9', '6', '1', '5']
['3', '5', '1', '6', '4', '8', '7', '0']
['1', '9', '8', '7', '4', '5', '3', '2']
['5', '0', '9', '6', '7', '2', '3', '4']
['1', '7', '5', '9', '8', '0', '4', '3']
['6', '2', '3', '1', '8', '4', '5', '0']
['9', '5', '6', '7', '3', '8', '0', '1']
['9', '6', '8', '3', '5', '0', '7', '4']
['8', '0', '3', '5', '1', '9', '2', '6']
['2', '0', '1', '9', '7', '5', '6', '8']
['8', '2', '7', '9', '6', '3', '4', '5']
